,backend,prop_quality,prop_name,prop_value,prop_time
0,ibmqx2,best,id_error,0.0004861842980427675,2020-07-04 08:28:13+00:00
1,ibmqx2,worst,id_error,0.0009397168368680176,2020-07-04 08:25:37+00:00
2,ibmqx2,mean,id_error,0.0006360421942396401,2020-07-04 08:22:51+00:00
3,ibmqx2,best,cx_error,0.011482535929297655,2020-07-04 08:49:23+00:00
4,ibmqx2,worst,cx_error,0.02150280350984965,2020-07-04 08:40:29+00:00
5,ibmqx2,mean,cx_error,0.017030066365573106,2020-07-04 08:31:37+00:00
6,ibmqx2,best,T1,45.4912412213674,2020-07-04 08:20:23+00:00
7,ibmqx2,worst,T1,76.808247101708,2020-07-04 08:20:23+00:00
8,ibmqx2,mean,T1,61.27157164635954,2020-07-04 08:20:23+00:00
9,ibmqx2,best,T2,32.074391983117934,2020-07-04 08:22:25+00:00
10,ibmqx2,worst,T2,75.71921852646315,2020-07-04 08:21:26+00:00
11,ibmqx2,mean,T2,57.77931357541229,2020-07-04 08:20:44+00:00
12,ibmqx2,best,readout_error,0.014000000000000012,2020-07-04 08:20:11+00:00
13,ibmqx2,worst,readout_error,0.027000000000000024,2020-07-04 08:20:11+00:00
14,ibmqx2,mean,readout_error,0.018900000000000007,2020-07-04 08:20:11+00:00
15,ibmqx2,best,id_error,0.0005189414542521442,2020-07-03 08:32:10+00:00
16,ibmqx2,worst,id_error,0.0009498447634634457,2020-07-03 08:26:10+00:00
17,ibmqx2,mean,id_error,0.0007228475394762451,2020-07-03 08:26:10+00:00
18,ibmqx2,best,cx_error,0.012713457628357766,2020-07-03 08:57:02+00:00
19,ibmqx2,worst,cx_error,0.025541146485670158,2020-07-03 08:46:33+00:00
20,ibmqx2,mean,cx_error,0.016133535987461253,2020-07-03 08:36:16+00:00
21,ibmqx2,best,T1,52.59196901559161,2020-07-03 08:22:26+00:00
22,ibmqx2,worst,T1,67.22981702770544,2020-07-03 08:22:26+00:00
23,ibmqx2,mean,T1,60.75542229920323,2020-07-03 08:22:26+00:00
24,ibmqx2,best,T2,40.53770903250621,2020-07-03 08:22:58+00:00
25,ibmqx2,worst,T2,86.39152191495145,2020-07-03 08:24:00+00:00
26,ibmqx2,mean,T2,66.52515008476391,2020-07-03 08:22:58+00:00
27,ibmqx2,best,readout_error,0.01100000000000001,2020-07-03 08:21:58+00:00
28,ibmqx2,worst,readout_error,0.027000000000000024,2020-07-03 08:21:58+00:00
29,ibmqx2,mean,readout_error,0.018800000000000018,2020-07-03 08:21:58+00:00
30,ibmqx2,best,id_error,0.0005829238010839462,2020-07-02 08:24:47+00:00
31,ibmqx2,worst,id_error,0.0007438855441749577,2020-07-02 08:23:32+00:00
32,ibmqx2,mean,id_error,0.0006784926289725276,2020-07-02 08:22:17+00:00
33,ibmqx2,best,cx_error,0.013801768067490089,2020-07-02 08:52:36+00:00
34,ibmqx2,worst,cx_error,0.01810936208594993,2020-07-02 08:35:16+00:00
35,ibmqx2,mean,cx_error,0.015885821482339246,2020-07-02 08:31:02+00:00
36,ibmqx2,best,T1,49.274772363050985,2020-07-02 08:19:53+00:00
37,ibmqx2,worst,T1,69.79098989188583,2020-07-02 08:19:53+00:00
38,ibmqx2,mean,T1,59.08126405264265,2020-07-02 08:19:53+00:00
39,ibmqx2,best,T2,44.17487812798279,2020-07-02 08:21:50+00:00
40,ibmqx2,worst,T2,68.39956525484844,2020-07-02 08:21:01+00:00
41,ibmqx2,mean,T2,58.64459054532672,2020-07-02 08:20:24+00:00
42,ibmqx2,best,readout_error,0.009500000000000064,2020-07-02 08:19:41+00:00
43,ibmqx2,worst,readout_error,0.040000000000000036,2020-07-02 08:19:41+00:00
44,ibmqx2,mean,readout_error,0.02470000000000001,2020-07-02 08:19:41+00:00
45,ibmqx2,best,id_error,0.0005972515918805513,2020-07-01 08:42:59+00:00
46,ibmqx2,worst,id_error,0.0010871061954741694,2020-07-01 08:36:47+00:00
47,ibmqx2,mean,id_error,0.0007394207284845786,2020-07-01 08:36:47+00:00
48,ibmqx2,best,cx_error,0.014892142660166696,2020-07-01 09:00:14+00:00
49,ibmqx2,worst,cx_error,0.018976936703946762,2020-07-01 09:09:34+00:00
50,ibmqx2,mean,cx_error,0.01702654582659839,2020-07-01 08:46:39+00:00
51,ibmqx2,best,T1,50.436403282308184,2020-07-01 08:32:45+00:00
52,ibmqx2,worst,T1,78.76490423956565,2020-07-01 08:32:45+00:00
53,ibmqx2,mean,T1,60.101004438293366,2020-07-01 08:32:45+00:00
54,ibmqx2,best,T2,43.78215267187526,2020-07-01 08:35:18+00:00
55,ibmqx2,worst,T2,92.94163724813141,2020-07-01 08:35:18+00:00
56,ibmqx2,mean,T2,62.13693636857455,2020-07-01 08:34:16+00:00
57,ibmqx2,best,readout_error,0.018000000000000016,2020-07-01 08:32:06+00:00
58,ibmqx2,worst,readout_error,0.04299999999999993,2020-07-01 08:32:06+00:00
59,ibmqx2,mean,readout_error,0.027000000000000003,2020-07-01 08:32:06+00:00
60,ibmqx2,best,id_error,0.00041686316993416007,2020-06-30 08:31:41+00:00
61,ibmqx2,worst,id_error,0.0009786439399591968,2020-06-30 08:29:48+00:00
62,ibmqx2,mean,id_error,0.0006898908969855647,2020-06-30 08:25:26+00:00
63,ibmqx2,best,cx_error,0.012445476315393222,2020-06-30 08:53:49+00:00
64,ibmqx2,worst,cx_error,0.017128877628002775,2020-06-30 08:44:38+00:00
65,ibmqx2,mean,cx_error,0.014909424843323924,2020-06-30 08:35:22+00:00
66,ibmqx2,best,T1,50.902217091167785,2020-06-27 08:20:22+00:00
67,ibmqx2,worst,T1,77.35029934896146,2020-06-30 08:21:57+00:00
68,ibmqx2,mean,T1,61.936851088756484,2020-06-30 08:21:57+00:00
69,ibmqx2,best,T2,41.90571830693567,2020-06-30 08:24:50+00:00
70,ibmqx2,worst,T2,83.16538124188493,2020-06-30 08:23:36+00:00
71,ibmqx2,mean,T2,62.42337918781791,2020-06-30 08:22:29+00:00
72,ibmqx2,best,readout_error,0.014499999999999957,2020-06-30 08:21:40+00:00
73,ibmqx2,worst,readout_error,0.033500000000000085,2020-06-30 08:21:40+00:00
74,ibmqx2,mean,readout_error,0.02350000000000003,2020-06-30 08:21:40+00:00
75,ibmqx2,best,id_error,0.0005435463864585519,2020-06-29 08:32:16+00:00
76,ibmqx2,worst,id_error,0.0017319091162577576,2020-06-29 08:30:44+00:00
77,ibmqx2,mean,id_error,0.0008110841490630184,2020-06-29 08:26:53+00:00
78,ibmqx2,best,cx_error,0.01466249504917333,2020-06-29 08:36:43+00:00
79,ibmqx2,worst,cx_error,0.02113063117624045,2020-06-29 08:56:57+00:00
80,ibmqx2,mean,cx_error,0.01748499586433357,2020-06-29 08:36:43+00:00
81,ibmqx2,best,T1,49.1270547592117,2020-06-29 08:23:42+00:00
82,ibmqx2,worst,T1,61.10236061846367,2020-06-29 08:23:42+00:00
83,ibmqx2,mean,T1,54.836255368591004,2020-06-29 08:23:42+00:00
84,ibmqx2,best,T2,42.11812616979956,2020-06-29 08:26:21+00:00
85,ibmqx2,worst,T2,75.60443400197171,2020-06-29 08:24:34+00:00
86,ibmqx2,mean,T2,57.633545538991086,2020-06-29 08:24:34+00:00
87,ibmqx2,best,readout_error,0.015000000000000013,2020-06-29 08:23:20+00:00
