backend,qubit,gate,prop_name,prop_time
ibmqx2,0,,T1,2020-06-21 08:24:18+00:00
ibmqx2,0,,T2,2020-06-21 08:24:43+00:00
ibmqx2,0,,frequency,2020-06-21 09:01:47+00:00
ibmqx2,0,,readout_error,2020-06-21 08:24:00+00:00
ibmqx2,0,,prob_meas0_prep1,2020-06-21 08:24:00+00:00
ibmqx2,0,,prob_meas1_prep0,2020-06-21 08:24:00+00:00
ibmqx2,0,id,gate_error,2020-06-21 08:27:18+00:00
ibmqx2,0,id,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,0,u1,gate_error,2020-06-21 08:27:18+00:00
ibmqx2,0,u1,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,0,u2,gate_error,2020-06-21 08:27:18+00:00
ibmqx2,0,u2,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,0,u3,gate_error,2020-06-21 08:27:18+00:00
ibmqx2,0,u3,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,0,cx,gate_error,2020-06-21 08:37:02+00:00
ibmqx2,0,cx,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,0,cx,gate_error,2020-06-21 08:42:07+00:00
ibmqx2,1,,T1,2020-06-21 08:24:18+00:00
ibmqx2,1,,T2,2020-06-21 08:25:16+00:00
ibmqx2,1,,frequency,2020-06-21 09:01:47+00:00
ibmqx2,1,,readout_error,2020-06-21 08:24:00+00:00
ibmqx2,1,,prob_meas0_prep1,2020-06-21 08:24:00+00:00
ibmqx2,1,,prob_meas1_prep0,2020-06-21 08:24:00+00:00
ibmqx2,1,id,gate_error,2020-06-21 08:28:35+00:00
ibmqx2,1,id,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,1,u1,gate_error,2020-06-21 08:28:35+00:00
ibmqx2,1,u1,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,1,u2,gate_error,2020-06-21 08:28:35+00:00
ibmqx2,1,u2,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,1,u3,gate_error,2020-06-21 08:28:35+00:00
ibmqx2,1,u3,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,1,cx,gate_error,2020-06-21 08:37:02+00:00
ibmqx2,1,cx,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,1,cx,gate_error,2020-06-21 08:47:13+00:00
ibmqx2,2,,T1,2020-06-21 08:24:18+00:00
ibmqx2,2,,T2,2020-06-21 08:26:09+00:00
ibmqx2,2,,frequency,2020-06-21 09:01:47+00:00
ibmqx2,2,,readout_error,2020-06-21 08:24:00+00:00
ibmqx2,2,,prob_meas0_prep1,2020-06-21 08:24:00+00:00
ibmqx2,2,,prob_meas1_prep0,2020-06-21 08:24:00+00:00
ibmqx2,2,id,gate_error,2020-06-21 08:30:02+00:00
ibmqx2,2,id,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,2,u1,gate_error,2020-06-21 08:30:02+00:00
ibmqx2,2,u1,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,2,u2,gate_error,2020-06-21 08:30:02+00:00
ibmqx2,2,u2,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,2,u3,gate_error,2020-06-21 08:30:02+00:00
ibmqx2,2,u3,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,2,cx,gate_error,2020-06-21 08:42:07+00:00
ibmqx2,2,cx,gate_length,2020-06-21 09:01:47+00:00
ibmqx2,2,cx,gate_error,2020-06-21 08:47:13+00:00
ibmqx2,2,cx,gate_error,2020-06-21 08:52:27+00:00
ibmqx2,2,cx,gate_error,2020-06-21 09:01:47+00:00
ibmqx2,3,,T1,2020-06-21 08:24:18+00:00
ibmqx2,3,,T2,2020-06-21 08:24:43+00:00
ibmqx2,3,,frequency,2020-06-21 09:01:47+00:00
ibmqx2,3,,readout_error,2020-06-21 08:24:00+00:00
ibmqx2,3,,prob_meas0_prep1,2020-06-21 08:24:00+00:00
