,0.5,1.0,1.5,2.0
0,-1.7949718150214002,-1.79432591208609,-1.7945947814887577,-1.7902244938626533
1,-1.794891718487167,-1.794107804305971,-1.790776854112794,-1.7919817915810887
2,-1.794924649944217,-1.7941209739581698,-1.792339653153487,-1.7904014593442517
3,-1.7948522276532535,-1.7936786356037868,-1.7940839574765601,-1.7920197105832734
4,-1.794909471731849,-1.794615054699574,-1.793168621104709,-1.7892844351927848
5,-1.7948780141187952,-1.794041381254702,-1.7930291698621,-1.7884203995789567
6,-1.7949789244290766,-1.7933687005182586,-1.7920186532614781,-1.788652854650577
7,-1.7949443851461622,-1.7947256528972602,-1.7942909709238375,-1.790060215641458
8,-1.794845859122568,-1.7942764972538119,-1.793955537838766,-1.7919054581161535
9,-1.7949403502105676,-1.7945004528705615,-1.7921739602569966,-1.7887923174201987
10,-1.7949906415594024,-1.794506241531483,-1.7914326799878215,-1.7918856518289945
11,-1.794856689803492,-1.7936166965646538,-1.7910526931166322,-1.7912697996114184
12,-1.7947289705684457,-1.7936482272656442,-1.7926650011083725,-1.793305642087061
13,-1.7947020282737263,-1.794242066008715,-1.7945928215589906,-1.7885259208837774
14,-1.794911386626477,-1.7948653564505577,-1.7924543901989016,-1.792001266368385
15,-1.7949251969871995,-1.7944973663356003,-1.7940884251670095,-1.7928160187258544
16,-1.7949071029668218,-1.7934241448976262,-1.7901374250498754,-1.7905619399464434
17,-1.7948943345520845,-1.7933603340522075,-1.791186899002808,-1.7923495319307294
18,-1.7947377968391347,-1.791981764109423,-1.79429207545017,-1.7900369359113706
19,-1.7945570253909011,-1.7947169474854392,-1.7926939913621007,-1.7939997287290521
20,-1.7948072695873933,-1.7933950611408311,-1.7944514846868214,-1.7908340486728886
21,-1.7947489133405279,-1.7947897216540891,-1.7926854471029425,-1.788882340309825
22,-1.7947626740878477,-1.7943058280902613,-1.7941908552480659,-1.7921105339328047
23,-1.7948050835696718,-1.7946049467059435,-1.7931999452724636,-1.7891884792135306
24,-1.7947635767021972,-1.7931635043949237,-1.7938781227203489,-1.7928221844769665
25,-1.7949209722762487,-1.793854024667233,-1.7948361291486956,-1.7898304724726153
26,-1.7943017071661946,-1.7928121855802477,-1.792628893429337,-1.7843602384808372
27,-1.7946781787187605,-1.7943565419601317,-1.791625232096027,-1.7904712918961012
28,-1.794919871417075,-1.7938898484830752,-1.7941357438928103,-1.7909656286853557
29,-1.7948496362282846,-1.7941055708833844,-1.793254867859818,-1.7936240765316929
30,-1.7949969748295542,-1.793939497063654,-1.7921060103983306,-1.7879616240968983
31,-1.7949441205711822,-1.7948326997876685,-1.7942737854207105,-1.793126399834575
32,-1.7948618631184552,-1.7936275563618416,-1.791404861511466,-1.785075247079046
33,-1.7948851685770377,-1.7940104701623822,-1.793908989476582,-1.7933744789498551
34,-1.794507320626751,-1.7946949638628267,-1.7919461677527786,-1.7910099681694323
35,-1.7948100120941217,-1.7927724081067091,-1.7940276181283723,-1.7896096497402652
36,-1.7947475251509737,-1.7943271653747306,-1.7937258827666294,-1.7928540156297952
