,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
0,7649,8055,8138,8138,8111,7802,8041,7488,8140,8131
1,7542,7956,8065,8040,8011,7643,7859,7400,8052,8005
2,7070,7562,7685,7643,7702,7298,7316,7037,7681,7619
3,6575,6958,7109,7042,7118,6665,6621,6509,7133,7076
4,5873,6146,6340,6234,6341,5943,5795,5803,6359,6236
5,4909,5262,5457,5346,5503,5029,4761,5037,5370,5265
6,4201,4134,4271,4242,4561,4129,3818,4172,4320,4233
7,3100,3184,3395,3300,3660,3168,2708,3379,3416,3192
8,2457,2325,2403,2404,2724,2250,1819,2698,2400,2292
9,1738,1438,1555,1557,1998,1554,1126,1940,1493,1416
10,1201,879,921,986,1444,938,544,1483,771,745
11,866,464,489,631,1110,613,247,1186,358,325
12,778,335,279,488,954,492,229,1059,156,159
13,925,398,342,593,1053,642,454,1244,231,247
14,1339,880,756,984,1496,975,939,1544,566,587
