,both 0,"control 1, other 0","control 0, other 1",both 1
0,605,7429,16,142
1,134,660,494,6904
2,607,7412,17,156
3,117,634,466,6975
4,636,7355,15,186
5,108,648,516,6920
6,589,7424,19,160
7,119,634,472,6967
8,603,7412,10,167
9,112,636,494,6950
10,605,7394,28,165
11,137,623,501,6931
12,634,7380,24,154
13,119,632,512,6929
14,609,7410,16,157
15,148,646,483,6915
16,617,7399,14,162
17,122,689,469,6912
18,614,7404,21,153
19,125,632,460,6975
20,570,7426,15,181
21,116,634,490,6952
22,580,7439,12,161
23,111,598,468,7015
24,607,7395,19,171
25,117,626,501,6948
26,642,7396,21,133
27,112,648,482,6950
28,561,7440,19,172
29,133,625,485,6949
30,632,7370,15,175
31,139,637,456,6960
32,641,7380,12,159
33,118,651,488,6935
34,569,7439,24,160
35,119,631,484,6958
36,615,7406,15,156
37,120,629,488,6955
38,598,7404,17,173
39,143,623,451,6975
40,566,7424,13,189
41,143,654,480,6915
42,641,7365,24,162
43,132,643,497,6920
44,632,7370,16,174
45,145,650,486,6911
46,568,7437,21,166
47,114,603,480,6995
48,629,7377,18,168
49,133,646,475,6938
50,589,7438,12,153
51,122,623,489,6958
52,607,7401,19,165
53,120,688,478,6906
54,603,7415,10,164
55,115,638,505,6934
56,616,7411,14,151
57,126,661,483,6922
58,591,7421,9,171
59,118,637,471,6966
60,604,7394,21,173
61,129,650,493,6920
62,608,7389,20,175
63,133,592,479,6988
64,621,7382,15,174
65,117,643,437,6995
66,579,7430,16,167
67,137,626,493,6936
68,587,7413,21,171
69,110,636,479,6967
70,612,7405,19,156
71,117,648,432,6995
72,621,7374,11,186
73,136,647,503,6906
74,604,7405,12,171
