,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
0,7634,8102,8103,8138,8162
1,7679,8104,8152,8151,8162
2,7681,8110,8128,8166,8152
3,7713,8102,8159,8165,8148
4,7671,8104,8150,8149,8166
5,7676,8090,8170,8160,8160
6,7662,8112,8169,8167,8161
7,7664,8108,8163,8163,8159
8,7693,8091,8168,8166,8149
9,7668,8107,8139,8160,8165
10,7689,8109,8146,8161,8159
11,7661,8103,8142,8159,8161
12,7696,8105,8141,8164,8164
13,7630,8086,8167,8164,8171
14,7675,8120,8172,8164,8159
15,7706,8110,8141,8172,8161
16,7661,8093,8154,8165,8165
17,7690,8109,8143,8159,8166
18,7680,8107,8145,8168,8157
19,7682,8101,8111,8167,8167
20,7692,8100,8155,8167,8166
21,7693,8098,8117,8161,8155
22,7710,8113,8155,8170,8166
23,7680,8102,8154,8168,8164
24,7686,8097,8137,8157,8170
25,7659,8104,8152,8167,8168
26,7667,8115,8119,8167,8162
27,7697,8094,8169,8164,8164
28,7679,8115,8160,8164,8163
29,7674,8115,8117,8169,8161
30,7719,8097,8159,8172,8169
31,7674,8094,8150,8171,8161
32,7692,8112,8149,8166,8163
33,7728,8095,8137,8160,8167
34,7662,8092,8118,8168,8169
35,7682,8120,8146,8160,8160
36,7693,8120,8132,8164,8158
37,7643,8109,8145,8163,8168
38,7715,8090,8146,8159,8167
39,7717,8099,8111,8166,8150
40,7669,8109,8141,8165,8159
41,7698,8117,8113,8171,8163
42,7662,8112,8168,8169,8162
43,7675,8098,8159,8158,8166
44,7646,8111,8131,8161,8158
45,7706,8109,8154,8161,8161
46,7672,8103,8137,8157,8163
47,7700,8109,8156,8163,8163
48,7681,8096,8145,8166,8155
49,7712,8092,8123,8165,8158
50,7710,8105,8141,8166,8163
51,7692,8102,8138,8166,8172
52,7678,8087,8149,8166,8158
53,7687,8108,8158,8156,8164
54,7645,8108,8122,8170,8163
55,7655,8102,8150,8172,8173
56,7660,8090,8134,8162,8164
57,7687,8111,8167,8171,8156
58,7669,8112,8150,8162,8163
59,7683,8099,8135,8170,8154
60,7675,8106,8151,8164,8162
61,7637,8112,8128,8156,8151
62,7690,8100,8152,8163,8159
63,7689,8091,8140,8168,8162
64,7680,8087,8123,8166,8161
65,7681,8098,8150,8167,8160
66,7684,8101,8124,8162,8156
67,7660,8102,8152,8163,8163
68,7714,8089,8149,8160,8163
69,7646,8089,8125,8162,8160
70,7645,8078,8147,8167,8161
71,7673,8097,8114,8164,8151
72,7692,8084,8168,8160,8158
73,7654,8104,8152,8161,8155
74,7663,8106,8139,8166,8157
75,7691,8085,8160,8140,8161
76,7662,8112,8169,8159,8168
77,7657,8098,8169,8155,8157
78,7632,8080,8167,8163,8159
79,7643,8123,8165,8167,8174
80,7657,8125,8156,8168,8161
81,7666,8102,8177,8170,8156
82,7616,8118,8168,8159,8167
83,7651,8114,8169,8163,8166
84,7681,8107,8163,8158,8171
85,7629,8084,8172,8175,8167
86,7629,8094,8171,8159,8163
87,7665,8109,8168,8165,8162
88,7657,8116,8173,8171,8163
89,7665,8112,8163,8167,8156
90,7706,8102,8167,8171,8153
91,7676,8104,8170,8165,8169
92,7633,8121,8175,8156,8155
93,7665,8108,8157,8166,8149
94,7667,8094,8168,8158,8160
95,7632,8109,8166,8164,8152
96,7676,8111,8158,8167,8160
97,7612,8101,8166,8167,8160
98,7643,8113,8162,8169,8164
99,7669,8100,8166,8155,8169
100,7661,8104,8161,8167,8158
101,7654,8113,8159,8161,8156
102,7642,8112,8165,8164,8161
103,7634,8099,8161,8168,8165
104,7672,8107,8176,8164,8164
105,7672,8111,8169,8170,8166
106,7653,8108,8172,8168,8153
107,7664,8095,8175,8158,8159
108,7652,8105,8165,8164,8166
109,7652,8120,8173,8172,8162
110,7667,8098,8164,8171,8160
111,7668,8100,8171,8167,8161
112,7647,8112,8173,8163,8160
113,7672,8115,8167,8162,8165
114,7641,8104,8174,8153,8160
115,7640,8087,8164,8164,8151
116,7676,8106,8158,8166,8161
117,7647,8102,8173,8156,8166
118,7680,8097,8168,8170,8161
119,7676,8101,8161,8163,8155
120,7652,8119,8167,8169,8163
121,7610,8099,8166,8167,8157
122,7671,8099,8156,8166,8164
123,7630,8093,8160,8161,8157
124,7651,8107,8170,8168,8161
125,7650,8094,8166,8168,8170
126,7654,8109,8164,8175,8169
127,7671,8126,8172,8170,8155
128,7667,8101,8168,8164,8154
129,7651,8104,8164,8164,8166
130,7651,8104,8169,8158,8163
131,7662,8093,8163,8170,8163
132,7664,8093,8167,8175,8164
133,7665,8098,8162,8160,8156
134,7646,8112,8158,8166,8159
135,7675,8111,8163,8170,8159
136,7646,8106,8169,8168,8162
137,7649,8096,8173,8177,8159
138,7673,8104,8166,8169,8163
139,7644,8106,8172,8159,8162
140,7688,8115,8162,8162,8156
141,7669,8106,8162,8168,8162
142,7670,8100,8166,8171,8159
143,7678,8086,8168,8167,8158
144,7667,8109,8168,8172,8166
145,7658,8107,8160,8171,8149
146,7654,8101,8160,8166,8167
147,7655,8116,8169,8168,8161
148,7626,8105,8169,8162,8162
149,7671,8102,8170,8164,8157
150,7666,8108,8155,8157,8146
151,7678,8101,8165,8162,8162
152,7620,8103,8162,8166,8156
153,7668,8114,8168,8155,8155
154,7649,8099,8165,8162,8163
