,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
0,7645,8088,8149,8136,8155
1,829,238,420,556,763
2,7642,8047,8127,8114,8148
3,838,257,437,531,778
4,7457,8068,8108,8086,8114
5,924,244,464,586,765
6,7261,8043,8100,8095,8120
7,988,276,483,578,806
8,6958,8027,8088,8070,8108
9,1159,249,473,611,830
10,6606,8042,8104,8035,8103
11,1236,312,484,644,783
12,6200,7991,8069,7990,8094
13,1357,330,468,687,893
14,5931,7977,8049,7960,8071
15,1530,339,516,779,895
16,5441,7923,8020,7915,8060
17,1831,362,542,741,871
18,5005,7920,8015,7862,8061
19,2155,355,541,799,892
20,4591,7878,8031,7863,8015
21,2455,412,544,842,894
22,4170,7867,7996,7801,7998
23,2743,454,581,920,924
24,3754,7801,7980,7724,8015
25,3142,488,616,938,966
26,3492,7759,7896,7666,7980
27,3600,532,597,966,999
28,3148,7728,7889,7663,7936
29,4034,556,671,1059,950
30,2861,7720,7846,7650,7944
31,4379,630,688,1081,932
32,2579,7667,7855,7540,7928
33,4731,681,668,1145,999
34,2364,7609,7827,7471,7916
35,5252,641,711,1212,1040
36,2255,7592,7791,7373,7898
37,5539,740,763,1249,995
38,2105,7519,7769,7362,7871
39,5800,800,828,1272,1018
40,2010,7505,7708,7312,7821
41,6135,844,758,1387,1062
42,1828,7390,7692,7238,7799
43,6377,941,851,1472,1073
44,1821,7404,7668,7154,7779
45,6524,974,921,1459,1075
46,1762,7281,7636,7114,7810
47,6631,971,957,1571,1099
48,1694,7214,7594,7129,7755
49,6660,1040,954,1663,1118
50,1587,7171,7561,6984,7744
51,6668,1143,947,1627,1150
52,1619,7143,7517,6966,7733
53,6568,1184,1076,1783,1155
54,1562,7099,7528,6865,7714
55,6407,1262,1067,1855,1272
56,1588,6946,7527,6852,7664
57,6285,1310,1111,1822,1204
58,1679,6887,7416,6757,7699
59,6118,1373,1158,1925,1196
60,1658,6856,7419,6726,7652
61,5894,1450,1170,2088,1300
62,1817,6767,7396,6649,7616
63,5634,1472,1231,2013,1302
64,1832,6688,7342,6514,7513
65,5377,1620,1174,2175,1378
66,1961,6620,7291,6548,7550
67,5127,1672,1304,2195,1338
68,2141,6520,7221,6377,7530
69,4907,1688,1354,2281,1343
70,2363,6583,7167,6281,7469
71,4694,1782,1389,2356,1376
72,2567,6488,7058,6322,7441
73,4447,1876,1405,2475,1429
74,2744,6272,7105,6163,7418
75,4373,1865,1735,2527,1281
76,2976,6406,6818,5940,7660
77,4160,1916,1687,2618,1217
78,3130,6300,6796,6050,7590
79,4119,1991,1821,2747,1270
80,3433,6289,6749,5932,7578
81,3961,2082,1850,2861,1320
82,3677,6202,6646,5857,7575
83,3853,2096,1893,2965,1327
84,3884,6113,6575,5701,7495
85,3912,2174,1924,2971,1343
86,4084,5998,6541,5632,7556
87,3784,2300,2037,3142,1409
88,4359,5990,6453,5514,7511
89,3626,2353,2144,3162,1389
90,4509,5912,6428,5474,7485
91,3574,2390,2133,3131,1413
92,4745,5813,6323,5463,7491
93,3413,2500,2105,3274,1390
94,4827,5690,6314,5354,7415
95,3449,2649,2296,3342,1461
96,4840,5580,6272,5220,7437
97,3251,2626,2289,3551,1482
98,4937,5520,6188,5190,7492
99,3180,2789,2357,3588,1436
100,4983,5425,6125,5027,7388
101,3006,2765,2488,3622,1533
102,4937,5422,6022,4962,7357
103,2938,2993,2513,3705,1527
104,4998,5243,5962,4950,7357
105,2920,2932,2547,3816,1500
106,4889,5306,5956,4891,7330
107,2664,3072,2565,3852,1594
108,4843,5201,5891,4790,7317
109,2664,3133,2682,3856,1592
110,4925,5178,5844,4662,7300
111,2537,3181,2753,4083,1622
112,4872,5038,5716,4690,7278
113,2459,3216,2827,4125,1589
114,4688,4995,5679,4527,7256
115,2363,3350,2918,4230,1609
116,4800,4878,5589,4410,7257
117,2326,3414,2930,4275,1645
118,4754,4861,5522,4438,7207
119,2418,3461,2999,4296,1706
120,4733,4720,5494,4355,7219
121,2355,3473,3094,4521,1742
122,4754,4716,5399,4198,7165
123,2548,3551,3107,4454,1775
124,4771,4552,5358,4143,7119
125,2574,3721,3154,4534,1763
126,4781,4581,5276,4136,7236
127,2612,3818,3355,4585,1785
128,4874,4428,5217,3959,7141
129,2643,3760,3322,4810,1870
130,4864,4330,5227,3924,7089
131,2759,3884,3392,4771,1766
132,4947,4302,5157,3887,7072
133,2861,3983,3453,4839,1831
134,4940,4281,5079,3784,7043
135,2988,4039,3552,5001,1858
136,5027,4117,5048,3716,7033
137,3050,4085,3482,4991,1896
138,4894,4119,5024,3623,7003
139,3196,4171,3646,5033,1800
140,4867,3996,4905,3642,7006
141,3226,4313,3649,5156,1902
142,4818,4080,4856,3543,6908
143,3391,4280,3696,5173,1907
144,4748,3875,4835,3404,6955
145,3402,4319,3752,5275,1959
146,4607,3890,4764,3439,6929
147,3460,4438,3862,5290,2003
148,4463,3801,4685,3371,6896
149,3530,4545,3830,5317,2031
150,4219,3457,4526,3397,6594
151,3603,4916,3984,5305,2246
152,4035,3256,4479,3299,6627
153,3609,5039,4073,5444,2267
154,3972,3283,4522,3264,6583
155,3651,4999,4142,5556,2339
156,3691,3181,4447,3213,6611
157,3828,5058,4175,5484,2323
158,3463,3207,4250,3106,6467
159,3974,5169,4222,5589,2348
160,3290,3019,4269,3114,6440
