,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
0,7707,8075,8160,8122,8165
1,4096,4284,4235,4343,4403
2,767,244,383,550,748
3,4233,3949,4174,4317,4574
4,7644,8055,8143,8121,8134
5,4164,4293,4314,4407,4417
6,786,237,399,589,748
7,4078,3922,4113,4169,4515
8,7572,8046,8102,8077,8125
9,4294,4514,4478,4563,4378
10,818,249,431,592,785
11,3946,3765,4059,4045,4474
12,7364,8028,8091,8048,8122
13,4308,4580,4573,4617,4360
14,918,263,425,607,736
15,3733,3742,3930,3990,4515
16,7121,8006,8075,8054,8114
17,4482,4598,4562,4733,4388
18,1061,299,442,646,743
19,3513,3538,3821,3954,4511
20,6727,8009,8077,8015,8094
21,4453,4720,4817,4835,4415
22,1103,295,420,636,786
23,3237,3500,3803,3859,4480
24,6397,7972,8073,8002,8102
25,4510,4811,4831,4876,4364
26,1290,364,462,726,815
27,2958,3313,3770,3809,4454
28,6073,7923,8023,7921,8092
29,4527,4978,4834,4952,4530
30,1552,342,462,723,828
31,2643,3327,3671,3553,4402
32,5558,7910,8020,7919,8068
33,4660,5106,4903,5060,4497
34,1727,383,511,764,809
35,2420,3141,3543,3533,4407
36,5216,7866,7998,7854,8046
37,4623,5134,5024,5158,4445
38,1974,417,499,847,799
39,2220,3170,3502,3373,4398
40,4728,7856,7975,7832,8057
41,4821,5214,5059,5270,4470
42,2252,458,569,823,862
43,2049,3035,3416,3360,4362
44,4365,7779,7962,7765,8038
45,4900,5376,5118,5330,4498
46,2625,483,620,887,840
47,1901,2882,3314,3315,4420
48,3878,7723,7954,7665,8047
49,5062,5478,5174,5415,4481
50,3012,578,583,961,880
51,1786,2823,3340,3236,4393
52,3599,7711,7878,7681,8018
53,5117,5519,5260,5517,4581
54,3357,604,609,1026,866
55,1659,2678,3217,3072,4376
56,3279,7673,7867,7635,8013
57,5263,5575,5295,5608,4591
58,3847,644,708,1102,914
59,1638,2681,3156,3020,4352
60,3008,7598,7863,7574,7981
61,5401,5555,5430,5671,4581
62,4229,699,700,1120,862
63,1613,2584,3046,2984,4295
64,2706,7591,7793,7509,7967
65,5626,5760,5458,5764,4649
66,4626,757,765,1161,882
67,1656,2562,2941,2975,4285
68,2622,7550,7757,7495,7961
69,5736,5770,5538,5730,4564
70,4996,776,767,1252,929
71,1686,2483,2950,2858,4228
