,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo
0,7684,8083,8156,8135,8163
1,4078,4149,4383,4340,4382
2,767,231,342,562,736
3,4222,4110,4075,4197,4534
4,7610,8048,8135,8114,8153
5,4318,4363,4538,4456,4490
6,784,248,376,550,813
7,4011,3922,3891,4113,4421
8,7476,8065,8110,8108,8139
9,4321,4371,4717,4558,4461
10,864,233,396,607,824
11,3835,3926,3874,4047,4371
12,7296,8057,8095,8077,8135
13,4372,4575,4702,4660,4410
14,942,267,397,623,843
15,3597,3720,3764,3978,4302
16,6945,8024,8075,8046,8108
17,4542,4668,4691,4782,4491
18,1041,317,427,634,837
19,3343,3585,3669,3885,4442
20,6644,7981,8054,8030,8084
21,4491,4792,4954,4910,4539
22,1104,335,443,680,862
23,3007,3499,3538,3797,4276
24,6286,7991,8022,7993,8094
25,4454,4897,5008,4948,4600
26,1384,331,501,696,902
27,2867,3333,3429,3656,4283
28,5910,7928,8042,7932,8071
29,4570,4989,5080,5035,4714
30,1503,353,478,794,820
31,2559,3361,3382,3599,4267
32,5450,7913,7968,7942,8042
33,4559,5013,5156,5183,4701
34,1732,403,547,820,884
35,2295,3178,3395,3602,4361
36,5082,7844,7938,7842,8028
37,4620,5206,5197,5179,4714
38,2003,433,577,879,876
39,2056,3159,3204,3364,4163
40,4637,7860,7919,7778,8014
41,4759,5277,5322,5321,4694
42,2352,489,590,913,914
43,1923,2995,3164,3306,4226
44,4182,7758,7908,7728,8033
45,4863,5347,5412,5355,4659
46,2712,536,635,930,903
47,1804,2872,3041,3222,4114
48,3851,7750,7829,7717,7974
49,4972,5450,5473,5455,4792
50,3131,540,682,1092,959
51,1704,2748,3018,3124,4171
52,3508,7726,7826,7602,7986
53,5063,5522,5628,5588,4793
54,3486,605,743,1125,930
55,1637,2708,2904,3087,4097
56,3200,7666,7769,7612,7938
57,5232,5685,5695,5717,4844
58,3852,635,777,1134,910
59,1555,2647,2846,3109,3998
60,2884,7578,7750,7497,7924
61,5526,5709,5715,5730,4929
62,4334,717,855,1261,938
63,1607,2528,2799,2964,4079
64,2672,7546,7672,7436,7909
65,5652,5766,5856,5852,4884
66,4712,779,826,1277,1003
67,1687,2376,2712,2922,3954
68,2430,7458,7603,7418,7866
69,5790,5974,5794,5833,4924
70,5077,879,972,1330,1051
71,1626,2349,2619,2760,3956
72,2204,7397,7579,7329,7923
73,5940,6010,5907,5927,4958
74,5466,908,979,1374,1018
75,1775,2170,2574,2859,4002
76,2146,7273,7493,7345,7882
77,6015,6060,6021,5936,4795
78,5848,981,1016,1407,991
79,1927,2061,2454,2671,4065
80,2018,7243,7419,7257,7898
81,6095,6184,6068,5981,4846
82,6166,1087,1125,1480,1086
83,1942,2018,2389,2682,3985
84,1813,7246,7405,7136,7847
85,6072,6170,6198,6042,4805
86,6334,1099,1108,1549,1066
87,2133,1984,2291,2634,4086
88,1818,7123,7274,7129,7857
89,6111,6314,6189,6182,4880
90,6526,1215,1200,1560,1098
91,2174,1891,2254,2554,4034
92,1740,7041,7257,7044,7847
93,6062,6422,6296,6194,4861
94,6632,1288,1257,1668,1106
95,2427,1811,2231,2454,3965
96,1627,7031,7209,6988,7846
97,5903,6464,6405,6212,4919
98,6680,1430,1328,1762,1080
99,2562,1748,2180,2425,4041
100,1551,6959,7168,6948,7803
101,5783,6556,6343,6287,4914
102,6656,1411,1371,1766,1150
103,2613,1730,2142,2406,3975
104,1525,6836,7133,6838,7779
105,5506,6592,6440,6411,4981
106,6560,1533,1425,1817,1079
107,2666,1636,2021,2251,3955
108,1559,6803,7059,6765,7777
109,5217,6616,6456,6444,5007
110,6435,1582,1454,1899,1178
111,2873,1616,2031,2360,3964
112,1509,6620,6970,6685,7722
113,4980,6730,6548,6446,4974
114,6304,1698,1504,1997,1132
115,2976,1587,1941,2215,3908
116,1605,6503,6914,6679,7702
117,4554,6778,6604,6489,4914
118,6086,1791,1648,2049,1166
119,3163,1490,1869,2166,3998
120,1500,6498,6866,6545,7673
121,4299,6795,6595,6638,4942
122,5849,1832,1696,2169,1139
123,3349,1450,1799,2107,3847
124,1554,6483,6776,6478,7685
125,3910,6894,6681,6633,4944
126,5553,1932,1745,2103,1243
127,3499,1459,1806,2019,3852
128,1677,6350,6738,6476,7671
129,3451,6867,6769,6705,5087
130,5310,2030,1738,2259,1255
131,3690,1321,1749,2038,3927
132,1858,6288,6705,6364,7673
133,3165,6977,6765,6737,5065
134,5064,2121,1903,2364,1259
135,3909,1274,1682,1967,3857
136,1913,6123,6613,6287,7666
137,2790,6994,6838,6756,5089
138,4883,2206,1936,2423,1305
139,4228,1221,1692,1814,3757
140,2153,6016,6467,6200,7636
141,2572,7045,6880,6742,5142
142,4595,2326,2086,2580,1230
143,4445,1211,1669,1807,3832
144,2306,5918,6475,6194,7624
145,2310,7140,6848,6895,5180
146,4465,2466,2092,2578,1301
147,4755,1134,1568,1898,3758
148,2656,5771,6332,6105,7558
149,2036,7151,6954,6902,5168
150,4323,1848,2182,2744,1518
151,4944,1662,1534,1686,3075
152,2753,6427,6302,5839,7236
153,1960,6662,6999,6934,5845
154,4201,1859,2243,2868,1582
155,5181,1583,1497,1716,3012
156,3074,6367,6174,5857,7233
157,1794,6618,7086,7112,5938
158,3876,1981,2363,2965,1632
159,5504,1580,1446,1638,2971
160,3402,6255,6091,5733,7248
161,1677,6695,7008,7060,5926
162,3944,2062,2509,3072,1671
163,5811,1450,1473,1651,2910
164,3605,6171,5980,5640,7221
165,1579,6753,7105,7087,5977
166,3845,2171,2473,3160,1772
167,6011,1544,1407,1574,2831
168,3903,6052,5935,5324,7230
169,1557,6873,7021,7111,6011
170,3742,2181,2552,3267,1686
171,6244,1445,1417,1536,2897
172,4152,6027,5829,5441,7120
173,1537,6825,7099,7122,5995
174,3631,2364,2650,3283,1754
175,6431,1435,1356,1665,2783
176,4448,5908,5828,5347,7115
177,1505,6852,7101,7127,5979
178,3505,2343,2719,3350,1814
179,6552,1411,1345,1512,2883
180,4588,5888,5769,5228,7057
181,1476,6814,7115,7211,5915
182,3444,2361,2820,3468,1820
183,6656,1395,1369,1454,2843
184,4737,5829,5680,5105,7004
185,1538,6943,7133,7177,6055
186,3298,2495,2836,3575,1882
187,6577,1394,1372,1496,2854
188,4832,5741,5535,5091,6987
189,1562,6926,7190,7193,6039
190,3243,2545,2887,3665,1873
191,6603,1390,1349,1449,2800
192,5023,5640,5555,5005,6960
193,1629,6920,7159,7236,6072
194,3204,2635,2961,3675,1930
195,6421,1318,1307,1463,2731
196,5074,5597,5446,4870,6963
197,1701,6875,7174,7192,6112
198,3031,2647,3061,3863,1952
199,6314,1287,1317,1421,2691
200,5020,5546,5351,4788,6951
201,1867,6973,7170,7181,6190
202,2935,2803,3264,3938,1921
203,6131,1305,1301,1432,2696
204,5107,5488,5227,4725,6884
205,1912,6953,7221,7189,6169
206,2711,2938,3150,3998,2063
207,5820,1383,1332,1458,2688
208,5125,5414,5292,4606,6813
209,2162,6935,7227,7190,6177
210,2656,2954,3321,4039,2051
211,5627,1287,1288,1457,2747
212,5146,5269,5205,4573,6732
213,2226,7063,7215,7236,6164
214,2539,3009,3453,4234,2099
215,5226,1316,1294,1474,2712
216,5056,5197,5028,4447,6686
217,2443,7007,7220,7193,6186
218,2367,3115,3498,4332,2165
219,4916,1250,1289,1553,2586
220,5027,5122,4974,4330,6663
221,2582,7023,7159,7163,6253
222,2352,3153,3535,4352,2182
223,4574,1364,1234,1518,2681
224,4972,5087,4943,4217,6733
225,2860,6923,6420,7185,6472
226,2270,3134,2090,4644,2426
227,4131,1387,1995,1543,2321
228,4891,4992,6312,4039,6369
229,3113,6952,6523,7123,6554
230,2237,3191,2194,4690,2498
231,3849,1381,1988,1569,2318
232,4882,4989,6311,4052,6332
233,3332,6918,6497,7131,6535
234,2173,3321,2262,4742,2456
235,3607,1392,1944,1549,2343
236,4896,5007,6205,3893,6274
237,3687,6931,6602,7045,6525
238,2226,3392,2325,4851,2624
239,3279,1392,1933,1636,2338
240,4867,4876,6195,3770,6195
241,4032,6942,6478,7115,6533
242,2288,3414,2271,4904,2655
243,2969,1406,2007,1717,2300
244,4974,4719,6154,3721,6153
245,4293,6948,6516,6961,6560
246,2365,3540,2351,5008,2708
247,2789,1371,1910,1671,2320
248,4962,4714,6060,3637,6135
249,4623,6912,6586,6977,6545
250,2426,3582,2406,5128,2693
251,2541,1435,1938,1714,2365
252,4998,4745,5987,3585,6184
253,4958,6848,6552,6933,6624
254,2606,3625,2467,5048,2791
255,2356,1404,1886,1867,2263
256,4835,4617,5919,3540,6142
257,5239,6893,6565,6864,6542
258,2711,3701,2537,5284,2846
259,2204,1464,1930,1862,2364
260,4893,4497,5903,3412,6017
261,5497,6894,6516,6837,6596
262,2832,3783,2545,5283,2841
263,2080,1405,1894,1895,2320
264,4890,4529,5791,3408,6070
265,5726,6819,6611,6740,6568
266,2887,3872,2551,5323,2882
267,2053,1454,1923,1854,2267
268,4849,4388,5836,3289,5931
269,5925,6815,6544,6786,6603
270,3038,3939,2645,5469,3027
271,1945,1495,1888,1971,2243
272,4918,4376,5826,3217,5892
273,6090,6777,6576,6687,6580
274,3145,4010,2692,5499,2974
275,1846,1497,1939,2077,2280
276,4829,4308,5723,3179,5808
277,6240,6778,6589,6639,6616
278,3288,4077,2697,5502,3048
