,both 0,"control 1, other 0","control 0, other 1",both 1
0,140,6705,21,1326
1,87,289,118,7698
2,144,6702,28,1318
3,70,318,120,7684
4,152,6754,28,1258
5,89,317,121,7665
6,122,6744,29,1297
7,67,309,137,7679
8,118,6723,22,1329
9,71,290,129,7702
10,133,6700,32,1327
11,77,311,127,7677
12,145,6759,22,1266
13,65,310,126,7691
14,130,6726,25,1311
15,74,283,119,7716
16,133,6729,26,1304
17,62,330,121,7679
18,134,6737,24,1297
19,72,298,111,7711
20,131,6726,37,1298
21,68,295,116,7713
22,125,6798,12,1257
23,79,336,119,7658
24,141,6742,16,1293
25,98,343,134,7617
26,143,6723,30,1296
27,62,300,109,7721
28,144,6756,20,1272
29,46,314,109,7723
30,120,6738,27,1307
31,88,293,119,7692
32,130,6730,31,1301
33,57,313,113,7709
34,121,6705,22,1344
35,88,321,127,7656
36,155,6745,32,1260
37,82,306,106,7698
38,143,6780,15,1254
39,79,323,126,7664
40,134,6790,22,1246
41,69,337,105,7681
42,130,6760,27,1275
43,76,318,126,7672
44,130,6718,30,1314
45,77,310,123,7682
46,129,6729,39,1295
47,76,321,119,7676
48,154,6699,33,1306
49,72,295,117,7708
50,140,6791,27,1234
51,68,313,109,7702
52,136,6727,28,1301
53,95,306,123,7668
54,120,6738,22,1312
55,70,280,107,7735
56,127,6724,26,1315
57,86,296,144,7666
58,141,6725,25,1301
59,94,339,110,7649
60,145,6750,20,1277
61,87,306,117,7682
62,113,6748,30,1301
63,87,317,137,7651
64,140,6717,32,1303
65,81,288,116,7707
66,143,6729,21,1299
67,72,291,125,7704
68,139,6712,29,1312
69,69,325,101,7697
70,142,6720,20,1310
71,51,269,92,7780
72,147,6762,33,1250
73,94,324,125,7649
74,146,6769,25,1252
