num_of_x90_gates,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
2,1253,254,338,599,1126,475,287,1073,177,146
4,7562,8029,8124,8117,8136,7799,8056,7508,8135,8136
6,1229,323,371,609,1163,529,275,1067,168,168
8,7410,7996,8098,8075,8120,7820,8055,7485,8108,8111
10,1276,320,355,654,1138,578,284,1080,184,183
12,7161,8006,8075,8048,8127,7738,8047,7508,8113,8124
14,1377,344,411,636,1200,606,283,1098,156,200
16,6931,7965,8100,8028,8117,7774,8031,7429,8115,8086
18,1349,348,340,702,1211,648,260,1154,218,255
20,6591,7962,8119,8047,8099,7689,8042,7421,8110,8039
22,1453,359,380,692,1194,686,264,1171,197,272
24,6194,7934,8084,8012,8087,7634,8011,7430,8070,7977
26,1541,425,362,741,1200,744,313,1170,210,294
28,5828,7915,8050,7958,8101,7585,8000,7427,8084,7953
30,1719,418,406,831,1188,804,327,1155,210,336
32,5482,7872,8049,7935,8083,7510,8039,7435,8065,7914
34,1862,461,427,829,1222,843,299,1183,204,416
36,5186,7848,8053,7860,8086,7476,8002,7339,8080,7822
38,2054,464,411,905,1194,870,320,1195,244,469
40,4718,7852,8065,7846,8076,7425,7982,7343,8053,7814
42,2288,468,401,959,1265,936,325,1289,246,611
44,4476,7820,8055,7785,8044,7373,7994,7347,8032,7733
46,2572,564,400,940,1268,984,315,1215,234,663
48,4094,7787,8051,7738,8071,7348,7970,7340,8024,7590
50,2888,545,427,1051,1256,1026,350,1254,283,706
52,3793,7732,8014,7702,8053,7272,7978,7306,8027,7535
54,3319,559,486,1088,1230,1120,320,1314,300,821
56,3621,7734,7997,7628,8051,7165,7977,7272,8036,7396
58,3558,657,499,1142,1208,1171,360,1274,272,951
60,3505,7697,8005,7561,8033,7099,7939,7342,7981,7317
62,3941,641,452,1179,1200,1321,370,1298,293,1055
64,3267,7639,8017,7507,8000,7082,7934,7257,8007,7121
66,4211,690,452,1261,1304,1382,395,1314,290,1222
68,3203,7604,7989,7465,8001,6995,7910,7252,7989,7034
70,4638,783,491,1302,1308,1494,387,1406,327,1308
72,3096,7590,7979,7408,7983,6932,7942,7169,7984,6917
74,4967,790,509,1392,1287,1473,404,1401,340,1450
76,3073,7510,7940,7342,7997,6796,7918,7193,7970,6813
78,5122,830,531,1422,1267,1628,411,1434,322,1569
80,2911,7486,7949,7214,7990,6699,7859,7108,7941,6566
82,5387,807,542,1552,1327,1668,428,1414,363,1675
84,2902,7471,7946,7236,7973,6611,7872,7106,7910,6533
86,5658,932,520,1573,1337,1874,447,1442,432,1891
88,2831,7398,7924,7150,7962,6566,7866,6997,7893,6254
90,5698,981,561,1616,1386,1864,472,1515,424,2065
92,2775,7324,7878,7091,7923,6434,7831,7038,7902,6071
94,5823,1017,590,1644,1329,1960,479,1567,410,2287
96,2804,7288,7902,7069,7938,6359,7808,6914,7817,5889
98,5921,1080,555,1723,1299,2097,513,1571,497,2550
100,2627,7238,7850,6988,7903,6246,7829,6960,7816,5605
