num_complete_revolutions,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
0,6679,7978,8113,8032,8102,7413,7976,7453,8068,8015
1,4807,7926,8049,7848,8053,7105,7935,7411,7889,7812
2,3311,7829,7963,7566,8046,6789,7910,7321,7668,7494
3,2808,7738,7820,7314,7977,6281,7892,7263,7389,7002
4,2387,7626,7708,6917,7948,5945,7808,7197,7011,6541
5,2137,7448,7516,6550,7855,5383,7773,7109,6591,5807
6,2232,7332,7339,6379,7811,4862,7766,7013,6157,5176
7,2955,7264,7131,5947,7730,4380,7685,6841,5591,4492
8,3799,7050,7002,5489,7686,3980,7586,6788,5095,3833
9,4237,6881,6750,5077,7583,3570,7533,6556,4588,3122
10,4488,6691,6573,4730,7532,3210,7422,6385,4000,2597
11,4968,6584,6338,4244,7422,2859,7301,6232,3361,1997
12,5518,6386,6064,3839,7346,2610,7136,5999,2922,1486
13,5517,6294,5867,3594,7307,2453,6901,5769,2416,1111
14,4730,6047,5643,3262,7188,2396,6563,5353,1902,830
