,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
num_complete_revolutions,6616,7944,8067,8006,8113,7457,7971,7453,8055,8042
1,4792,7895,8039,7837,8074,7112,7989,7402,7924,7885
2,3378,7824,7951,7560,8026,6795,7927,7325,7694,7572
3,2862,7692,7841,7298,8016,6264,7891,7247,7389,7138
4,2461,7645,7732,6968,7910,5848,7843,7196,7092,6756
5,2103,7494,7555,6638,7902,5385,7774,7050,6609,6116
6,2147,7289,7453,6284,7799,4945,7718,6969,6199,5476
7,2891,7184,7265,5912,7790,4388,7623,6804,5747,4705
8,3667,7009,7099,5475,7697,3935,7531,6663,5152,3984
9,4102,6857,6912,5107,7571,3633,7481,6523,4551,3419
10,4277,6658,6682,4743,7501,3177,7332,6284,4030,2689
11,4885,6530,6506,4237,7428,2881,7256,6116,3441,2040
12,5537,6360,6246,3910,7356,2638,7106,5878,3012,1565
13,5481,6115,6021,3548,7251,2427,6948,5616,2469,1184
14,4813,5979,5806,3326,7179,2276,6698,5209,1923,894
