num_complete_revolutions,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
0,6631,7977,8081,8040,8111,7329,7964,7449,8053,8022
1,4752,7904,8030,7806,8071,7149,7962,7385,7886,7861
2,3446,7826,7935,7552,8029,6712,7926,7282,7655,7544
3,2846,7714,7855,7303,7992,6356,7895,7237,7404,7140
4,2456,7641,7713,6988,7949,5853,7836,7153,7001,6602
5,2153,7489,7545,6606,7902,5419,7740,7004,6528,5906
6,2175,7352,7353,6219,7848,4922,7677,6909,6176,5347
7,2920,7224,7205,5990,7771,4483,7559,6746,5657,4687
8,3616,7056,7011,5543,7686,3945,7475,6666,4979,3951
9,4038,6966,6772,5123,7598,3535,7299,6481,4466,3291
10,4254,6729,6636,4629,7519,3213,7198,6261,3990,2677
11,4958,6596,6421,4344,7489,2935,7065,6003,3431,2125
12,5455,6418,6153,3885,7333,2629,6922,5826,2972,1627
13,5604,6245,5931,3548,7288,2404,6737,5554,2466,1250
14,4819,6042,5748,3338,7229,2229,6294,5208,1911,842
