,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
0,7689,8095,8100,8134,8128,7891
1,7660,8110,8161,8153,8158,7925
2,7652,8088,8145,8156,8148,7935
3,7675,8077,8143,8160,8142,7909
4,7648,8073,8155,8157,8140,7921
5,7642,8057,8134,8154,8118,7924
6,7591,8033,8147,8154,8115,7918
7,7597,7990,8133,8154,8094,7910
8,7622,7991,8133,8154,8111,7884
9,7601,7946,8118,8144,8086,7885
10,7608,7916,8112,8155,8061,7869
11,7587,7931,8090,8151,8065,7851
12,7588,7890,8101,8149,8019,7859
13,7577,7847,8086,8132,8025,7848
14,7590,7779,8079,8140,7987,7817
15,7554,7720,8043,8122,7979,7802
16,7595,7737,8051,8133,7903,7789
17,7586,7667,8036,8129,7898,7794
18,7518,7623,8049,8134,7847,7756
19,7536,7582,7994,8129,7825,7724
20,7557,7578,7996,8132,7784,7774
21,7533,7460,7995,8112,7768,7713
22,7523,7468,7983,8119,7752,7716
23,7542,7421,7943,8113,7693,7668
24,7483,7406,7917,8108,7622,7644
25,7502,7312,7920,8101,7608,7650
26,7480,7270,7887,8129,7579,7655
27,7475,7238,7864,8090,7542,7620
28,7509,7110,7837,8097,7488,7587
29,7467,7113,7864,8089,7435,7551
30,7476,7000,7829,8086,7362,7552
31,7505,6996,7806,8080,7346,7505
32,7447,6932,7779,8082,7339,7460
33,7462,6838,7753,8092,7302,7465
34,7469,6809,7728,8065,7216,7449
35,7405,6776,7694,8070,7174,7425
36,7409,6726,7714,8059,7124,7436
37,7441,6577,7627,8080,7105,7388
38,7433,6522,7660,8063,7009,7318
39,7442,6571,7663,8066,7005,7318
40,7468,6495,7640,8061,6886,7298
41,7403,6374,7601,8054,6894,7266
42,7351,6419,7619,8044,6835,7238
43,7423,6383,7574,8050,6852,7225
44,7356,6290,7556,8039,6701,7224
45,7395,6309,7525,8028,6678,7157
46,7367,6196,7548,8041,6649,7144
47,7349,6190,7521,8050,6643,7105
48,7381,6108,7535,8035,6561,7061
49,7333,6023,7461,8013,6526,7016
50,7388,5967,7448,8020,6468,7033
51,7359,5940,7451,8031,6372,6993
52,7383,5885,7351,8028,6366,7060
53,7345,5883,7358,7990,6304,6880
54,7322,5799,7368,8024,6263,6908
55,7340,5797,7337,7991,6258,6889
56,7323,5825,7322,8014,6181,6912
57,7373,5734,7296,8004,6136,6862
58,7279,5717,7260,7997,6104,6780
59,7351,5622,7198,7991,6027,6854
60,7300,5557,7218,7984,5966,6767
61,7318,5572,7225,7982,5981,6763
62,7322,5605,7200,7985,5886,6762
63,7292,5566,7222,7974,5879,6758
64,7280,5533,7162,7962,5825,6659
65,7322,5437,7133,7978,5809,6744
66,7256,5464,7108,7962,5717,6558
67,7276,5452,7078,7960,5691,6599
68,7244,5348,7064,7942,5664,6544
69,7228,5446,7031,7947,5607,6577
70,7271,5390,7003,7945,5625,6577
71,7252,5316,6987,7959,5581,6521
72,7268,5350,7020,7939,5524,6523
73,7215,5399,6961,7921,5475,6513
74,7252,5359,6894,7911,5418,6497
75,7170,5291,6813,7913,5362,6193
76,7190,5349,6793,7911,5415,6187
77,7222,5313,6690,7917,5406,6161
