,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
0,7629,8101,8142,8116,8138,7670
1,879,628,329,672,195,553
2,7576,8058,8118,8115,8135,7658
3,922,713,305,673,193,527
4,7426,8027,8117,8088,8136,7644
5,983,774,350,740,198,537
6,7259,7949,8091,8082,8124,7598
7,1007,841,365,676,199,530
8,7033,7906,8076,8044,8108,7656
9,1072,828,384,761,214,552
10,6678,7834,8089,8015,8116,7624
11,1182,898,359,811,232,562
12,6332,7771,8061,8029,8116,7573
13,1326,962,395,824,219,540
14,5990,7691,8037,7954,8095,7567
15,1516,1054,436,879,253,540
16,5523,7631,8030,7936,8076,7613
17,1649,1127,403,937,232,586
18,5119,7541,8037,7916,8063,7551
19,1854,1197,439,857,270,615
20,4854,7485,8031,7873,8046,7540
21,2010,1296,447,930,299,640
22,4455,7444,8003,7859,8041,7589
23,2278,1303,475,937,307,579
24,4134,7390,7990,7821,8024,7503
25,2573,1391,440,1001,333,630
26,3825,7303,7955,7800,8001,7498
27,2785,1344,496,1021,344,622
28,3674,7322,7941,7768,7998,7461
29,3080,1438,498,1140,358,636
30,3499,7224,7937,7762,7935,7480
31,3291,1499,480,1100,363,671
32,3291,7212,7929,7680,7941,7493
33,3580,1543,548,1129,379,694
34,3180,7144,7904,7650,7915,7483
35,3780,1554,571,1139,434,757
36,3192,7162,7898,7652,7913,7454
37,3952,1560,642,1210,433,688
38,3215,7099,7859,7602,7869,7433
39,4176,1627,566,1191,497,742
40,3241,7071,7814,7532,7879,7424
41,4433,1618,618,1282,528,762
42,3314,7052,7846,7497,7833,7403
43,4531,1698,660,1320,572,805
44,3419,7013,7780,7514,7763,7405
45,4575,1695,657,1321,564,814
46,3450,6972,7729,7479,7752,7392
47,4710,1768,684,1324,610,776
48,3565,6912,7734,7466,7648,7388
49,4754,1742,706,1299,597,783
50,3583,6923,7708,7434,7628,7391
51,4685,1823,762,1392,650,843
52,3688,6870,7724,7402,7623,7326
53,4611,1835,760,1439,735,837
54,3666,6831,7655,7416,7603,7269
55,4549,1874,802,1392,714,803
56,3659,6835,7648,7373,7542,7318
57,4394,1905,865,1365,772,895
58,3712,6783,7602,7358,7499,7246
59,4438,1913,877,1438,801,889
60,3574,6770,7580,7356,7482,7280
