,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
0,7670,8088,8150,8155,8147,7760
1,4060,4369,4115,4375,4083,4136
2,850,600,314,679,179,518
3,4405,4352,4318,4382,4323,4125
4,7594,8076,8135,8132,8144,7752
5,4050,4498,4150,4395,3927,4282
6,841,621,358,730,197,551
7,4393,4182,4296,4333,4387,3972
8,7492,8040,8105,8132,8134,7759
9,4000,4572,4154,4426,3872,4269
10,953,715,343,676,205,573
11,4327,4173,4352,4401,4509,3995
12,7300,7979,8100,8073,8093,7705
13,3977,4612,4059,4461,3796,4300
14,999,770,383,764,222,575
15,4280,3975,4439,4384,4544,4031
16,7038,7897,8092,8070,8100,7743
17,3684,4749,3997,4426,3716,4381
18,1010,728,362,748,244,527
19,4218,4033,4502,4366,4615,3849
20,6744,7893,8094,8045,8080,7695
21,3779,4777,4019,4405,3658,4508
22,1145,873,381,712,231,635
23,4088,3818,4518,4344,4656,3762
24,6372,7766,8089,8005,8097,7676
25,3665,4889,3949,4578,3691,4440
26,1244,864,398,821,275,637
27,3865,3756,4551,4385,4659,3783
28,6008,7739,8034,7988,8063,7628
29,3585,4887,3962,4445,3621,4616
30,1461,911,391,866,269,616
31,3683,3614,4579,4332,4807,3646
32,5665,7744,8032,7981,8037,7644
33,3571,4927,3816,4493,3512,4740
34,1621,965,443,839,296,628
35,3422,3654,4587,4276,4851,3554
36,5327,7666,8029,7939,8013,7603
37,3553,5051,3874,4531,3459,4659
38,1694,979,441,883,328,674
39,3236,3632,4724,4342,4920,3620
40,4946,7656,8031,7925,8012,7552
41,3649,5228,3663,4529,3413,4703
42,2104,1026,428,982,346,672
43,2944,3452,4719,4296,4899,3425
44,4558,7625,8020,7874,7996,7544
45,3763,5295,3631,4497,3342,4823
46,2263,1054,446,958,335,704
47,2762,3338,4701,4350,5046,3391
48,4192,7622,7969,7858,7954,7521
49,4017,5427,3785,4512,3278,4906
50,2547,1094,507,993,367,753
51,2556,3239,4738,4235,5032,3370
52,3945,7592,7953,7818,7937,7547
53,4161,5374,3644,4563,3207,4992
54,2790,1053,540,1020,401,802
55,2273,3254,4828,4262,5190,3351
56,3699,7517,7921,7751,7881,7484
57,4448,5494,3651,4546,3168,4925
58,3009,1160,535,1096,432,749
59,2156,3082,4867,4317,5214,3261
60,3512,7505,7945,7734,7908,7437
61,4847,5645,3580,4556,3137,5116
62,3344,1216,559,1092,410,846
63,1965,3057,4867,4214,5294,3189
64,3384,7383,7924,7728,7843,7394
65,5050,5667,3588,4512,3071,5197
66,3569,1271,537,1122,487,852
67,1728,3005,4836,4253,5178,3114
68,3341,7436,7904,7693,7866,7328
69,5470,5714,3461,4576,3040,5207
70,3897,1309,622,1154,549,969
71,1665,2994,4980,4317,5311,3083
72,3273,7349,7826,7596,7815,7356
73,5782,5731,3520,4608,2910,5273
74,4110,1414,663,1261,547,908
75,1524,2572,4724,4349,5193,2459
76,3350,7072,7868,7646,7858,7027
77,5995,6133,3699,4475,3072,5803
78,4257,1750,573,1231,484,1258
79,1436,2524,4770,4342,5334,2449
80,3377,6980,7853,7558,7801,6970
81,6252,6169,3642,4505,3032,5855
82,4351,1700,589,1228,555,1287
83,1397,2359,4851,4345,5349,2404
84,3389,6917,7830,7548,7808,6925
85,6621,6290,3699,4511,2960,5938
86,4519,1796,635,1278,556,1343
87,1346,2309,4808,4298,5337,2273
88,3544,6769,7846,7554,7757,6887
89,6808,6393,3688,4519,2881,6047
90,4563,1885,645,1279,583,1343
91,1300,2363,4780,4337,5494,2177
92,3551,6746,7791,7550,7737,6758
93,6934,6369,3595,4522,2794,6085
94,4647,1966,691,1313,606,1439
95,1304,2202,4802,4283,5538,2114
96,3637,6693,7795,7491,7676,6667
97,7055,6422,3654,4592,2728,6126
98,4601,2058,672,1322,643,1462
99,1317,2162,4929,4273,5659,2152
100,3624,6610,7755,7508,7612,6587
101,7050,6511,3492,4518,2683,6190
102,4598,2123,723,1420,693,1642
103,1301,2192,4953,4334,5592,2049
104,3709,6511,7725,7415,7643,6589
105,7038,6559,3493,4506,2743,6292
106,4566,2263,731,1388,717,1636
107,1275,2119,4884,4269,5666,1949
108,3680,6348,7748,7479,7619,6478
109,6893,6552,3532,4533,2675,6373
110,4515,2375,722,1376,775,1688
111,1392,2103,5027,4284,5629,1890
112,3674,6281,7723,7418,7544,6461
113,6746,6597,3435,4524,2609,6371
114,4414,2408,784,1432,832,1891
115,1346,2059,5048,4168,5734,1860
116,3664,6253,7640,7383,7570,6405
117,6440,6635,3447,4569,2558,6443
118,4171,2523,841,1418,840,1867
119,1361,2031,5019,4253,5700,1854
120,3498,6147,7617,7362,7454,6328
121,6244,6747,3317,4530,2495,6555
122,4147,2601,809,1487,834,1944
123,1508,1913,5076,4308,5846,1728
124,3492,6099,7580,7345,7441,6276
125,5916,6702,3395,4509,2493,6529
126,4035,2537,919,1500,840,2005
127,1507,1925,5000,4297,5891,1720
128,3351,6053,7600,7308,7505,6155
129,5645,6742,3363,4534,2338,6641
130,3975,2800,918,1482,826,2042
131,1666,1901,5170,4166,5930,1671
132,3138,5860,7547,7342,7391,6156
133,5341,6693,3322,4475,2390,6637
134,3829,2800,905,1553,855,2177
135,1801,1883,5139,4236,5812,1605
136,3061,5787,7483,7330,7354,6001
137,4888,6815,3341,4544,2389,6708
138,3826,2970,902,1467,1016,2216
139,1995,1806,5205,4305,5907,1550
140,2922,5753,7422,7292,7323,5902
141,4637,6827,3323,4564,2427,6780
142,3701,3041,959,1498,985,2295
143,2193,1816,5157,4193,5892,1502
144,2787,5614,7461,7250,7322,5887
145,4247,6794,3263,4656,2384,6800
146,3901,3078,977,1547,1062,2401
147,2334,1865,5252,4303,5964,1456
148,2630,5562,7441,7228,7296,5723
149,3961,6865,3281,4615,2344,6823
150,3943,3411,980,1566,945,1948
151,2641,1568,5268,4323,5834,2014
152,2481,5136,7499,7289,7343,6366
153,3736,7096,3350,4467,2430,6555
154,4056,3571,961,1544,1010,1984
155,2826,1549,5140,4269,5837,1896
156,2369,5078,7409,7211,7326,6236
157,3509,7106,3304,4524,2373,6477
158,4225,3741,1028,1581,1047,2080
159,3143,1546,5195,4205,5910,1866
160,2187,4972,7379,7174,7316,6217
161,3328,7123,3280,4542,2378,6588
162,4377,3808,1013,1666,1055,2213
163,3350,1624,5202,4299,6009,1906
164,2124,4950,7397,7232,7167,6150
165,3211,7099,3203,4565,2270,6633
166,4594,3836,1123,1567,1125,2223
167,3652,1632,5182,4168,6050,1799
168,2090,4801,7365,7159,7121,6132
169,3095,7103,3192,4552,2302,6643
170,4842,3957,1129,1649,1173,2274
171,3829,1565,5226,4298,5998,1777
172,1981,4654,7345,7226,7100,6082
173,3022,7110,3176,4552,2360,6654
174,5152,4067,1116,1620,1196,2315
175,4205,1590,5268,4191,6063,1773
176,1944,4618,7368,7173,7114,6031
177,2968,7041,3109,4686,2217,6746
178,5394,4137,1168,1652,1283,2388
179,4343,1624,5266,4204,6056,1697
180,1908,4514,7288,7170,7139,5868
181,2990,7063,3129,4561,2197,6666
182,5589,4202,1139,1627,1255,2487
183,4553,1709,5355,4224,6091,1680
184,1844,4448,7228,7138,7071,5859
185,2982,7053,3157,4570,2220,6752
186,5825,4213,1175,1669,1288,2665
187,4716,1623,5274,4265,6085,1603
188,1876,4378,7208,7106,7061,5893
189,3103,6988,3120,4597,2172,6817
190,6092,4433,1179,1754,1334,2623
191,4850,1689,5256,4121,6202,1617
192,1839,4258,7254,7104,6982,5746
193,3062,6963,3079,4594,2213,6816
194,6218,4580,1247,1639,1310,2674
195,4949,1722,5341,4217,6172,1537
196,1811,4036,7165,7085,7005,5590
197,3174,6919,3174,4618,2201,6794
198,6375,4594,1322,1775,1350,2698
199,5043,1807,5384,4190,6176,1587
200,1774,4089,7096,7078,6944,5525
201,3202,6912,3082,4610,2180,6923
202,6399,4645,1268,1711,1446,2828
203,4937,1771,5340,4247,6159,1511
204,1860,3970,7141,7047,6927,5496
205,3220,6859,3028,4564,2130,6916
206,6420,4773,1371,1800,1459,2820
207,4932,1765,5371,4177,6166,1517
208,1780,3810,7178,7043,6838,5476
209,3187,6827,3052,4606,2140,6930
210,6311,4944,1384,1812,1411,2916
211,4887,1916,5350,4127,6185,1491
212,1791,3735,7053,7011,6875,5424
213,3242,6847,3031,4583,2079,6944
214,6234,4949,1401,1852,1477,3080
215,4790,1909,5408,4163,6153,1475
216,1826,3705,6997,6971,6899,5263
217,3274,6745,3001,4628,2091,7041
218,6122,5011,1441,1852,1533,3125
219,4676,1960,5400,4129,6229,1424
220,1940,3660,7009,7003,6803,5272
221,3228,6714,3000,4655,2149,7012
222,5899,5062,1473,1885,1610,3081
223,4512,2039,5433,4242,6225,1422
224,1855,3605,6954,7023,6778,5199
225,3258,6146,3377,4597,2378,6967
226,5552,4382,1302,1825,1415,3170
227,4371,2551,5103,4113,5970,1422
228,2020,4341,7099,6876,6861,5195
229,3147,6098,3295,4723,2308,7010
230,5350,4438,1342,1912,1488,3253
231,4257,2584,5135,4203,5980,1420
232,2068,4165,7110,6934,6818,5173
233,3063,6037,3389,4609,2407,7023
234,5005,4469,1385,1922,1526,3288
235,4153,2580,5028,4090,6007,1377
236,2106,4174,7082,6974,6796,5079
237,2949,5979,3374,4666,2280,7040
238,4774,4600,1389,2016,1556,3387
239,4065,2656,5118,4199,6014,1442
240,2359,4155,7048,6835,6731,5006
241,2856,5992,3394,4614,2175,7027
242,4510,4603,1399,1979,1563,3467
243,4020,2686,5145,4111,6136,1337
244,2429,4114,6983,6840,6738,4900
245,2769,5947,3346,4678,2178,7040
246,4194,4663,1487,2014,1483,3465
247,3931,2731,5080,4139,6151,1399
248,2676,4029,6985,6847,6744,4850
249,2710,5982,3376,4677,2227,7013
250,4005,4713,1446,2030,1552,3634
251,3986,2773,5091,4056,6058,1373
252,2822,3996,6936,6843,6715,4816
253,2552,5920,3251,4769,2178,7012
254,3631,4754,1458,2008,1642,3632
255,4058,2791,5140,4142,6198,1319
256,3033,3949,6968,6735,6681,4724
257,2583,5834,3343,4613,2098,7070
258,3504,4824,1452,2020,1715,3727
259,4101,2981,5152,4036,6218,1374
260,3221,3907,6941,6729,6586,4641
261,2448,5841,3257,4656,2228,7016
262,3330,4775,1553,2054,1748,3804
263,4186,2996,5242,4103,6044,1362
264,3518,3901,6846,6716,6630,4606
265,2401,5713,3211,4661,2141,7133
266,3096,4873,1543,2147,1750,3958
267,4389,3006,5247,4164,6053,1371
268,3656,3827,6881,6756,6572,4558
269,2349,5699,3202,4683,2195,7071
270,3103,4842,1580,2104,1726,3889
271,4590,3016,5246,4192,6129,1368
272,3882,3788,6888,6680,6513,4333
273,2320,5685,3296,4628,2104,7005
274,2965,4990,1614,2198,1786,3963
275,4734,3074,5171,4132,6142,1320
276,4157,3760,6804,6622,6580,4405
277,2288,5596,3262,4666,2121,7077
278,2869,4968,1635,2196,1728,3996
279,4860,3168,5172,4164,6183,1311
280,4439,3797,6808,6660,6512,4311
281,2321,5565,3258,4649,2100,7049
282,2877,5026,1685,2262,1778,4098
283,5070,3188,5233,4140,6238,1327
284,4505,3697,6784,6540,6473,4280
285,2288,5512,3192,4757,2143,7049
286,2903,5065,1681,2246,1865,4165
287,5330,3295,5220,4134,6206,1383
288,4637,3650,6750,6619,6415,4134
289,2259,5460,3249,4752,2147,7018
290,2948,5023,1712,2247,1960,4240
291,5459,3259,5166,4199,6160,1394
292,4881,3671,6779,6586,6359,4131
293,2271,5412,3224,4730,2167,7078
294,2905,5107,1711,2293,1913,4335
295,5512,3281,5262,4073,6075,1360
296,4888,3618,6687,6485,6349,3989
297,2233,5339,3253,4702,2166,7045
298,2933,5073,1745,2255,1887,4390
299,5598,3412,5232,4178,6154,1458
