,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk
0,7669,8085,8154,8160,8151,7851
1,4122,4359,4320,4484,4046,4206
2,848,570,307,676,197,550
3,4386,4289,4220,4412,4325,4137
4,7609,8039,8139,8143,8153,7858
5,4089,4471,4188,4429,3992,4293
6,905,687,353,687,197,530
7,4440,4211,4251,4367,4389,4058
8,7424,8022,8116,8125,8136,7890
9,3874,4554,4261,4377,3907,4378
10,909,762,368,732,228,558
11,4338,4136,4203,4375,4460,4039
12,7246,7954,8115,8085,8133,7828
13,3760,4606,4161,4352,3917,4453
14,945,787,369,739,235,585
15,4323,4047,4368,4364,4634,3991
16,6973,7880,8096,8074,8108,7807
17,3637,4552,4156,4512,3736,4588
18,996,878,364,759,244,647
19,4241,4112,4327,4321,4608,3792
20,6609,7818,8109,8047,8103,7806
21,3545,4623,4095,4522,3740,4656
22,1163,894,382,807,265,648
23,4043,4060,4369,4351,4730,3807
24,6257,7777,8095,8024,8085,7831
25,3420,4695,4138,4447,3587,4671
26,1250,989,387,867,265,657
27,3913,4058,4371,4332,4685,3732
28,5873,7759,8063,8006,8042,7746
29,3377,4730,4032,4523,3537,4819
30,1419,992,449,862,245,634
31,3627,4016,4493,4455,4770,3623
32,5506,7681,8049,7957,8052,7751
33,3295,4798,4049,4475,3479,4835
34,1515,1031,465,830,278,721
35,3435,3903,4503,4396,4815,3571
36,5073,7649,8043,7950,8029,7703
37,3281,4808,3897,4536,3408,4938
38,1791,1073,423,894,296,698
39,3255,3853,4564,4362,4789,3523
40,4697,7582,8036,7869,8027,7708
41,3356,4877,3913,4408,3418,5018
42,1905,1110,412,920,320,745
43,2944,3703,4593,4377,5025,3386
44,4430,7533,8031,7880,7996,7628
45,3462,5066,3931,4464,3356,5088
46,2192,1205,437,957,349,769
47,2654,3666,4564,4385,5040,3340
48,4028,7490,8007,7829,7972,7555
49,3666,5077,3878,4431,3272,5244
50,2431,1260,475,960,406,850
51,2539,3674,4653,4349,5058,3203
52,3706,7395,8004,7782,7959,7561
53,3786,5101,3842,4454,3223,5204
54,2647,1336,495,1058,425,827
55,2249,3659,4750,4361,5129,3127
56,3583,7303,8001,7803,7912,7537
57,4157,5065,3765,4422,3252,5384
58,2828,1410,505,1055,424,956
59,2109,3524,4751,4302,5136,3062
60,3400,7274,7993,7731,7901,7423
61,4530,5195,3689,4560,3205,5353
62,3142,1453,526,1100,470,955
63,1906,3483,4840,4256,5193,3056
64,3301,7253,7963,7742,7907,7477
65,4814,5150,3752,4406,3201,5544
66,3336,1462,532,1125,441,992
67,1744,3556,4802,4401,5288,2910
68,3317,7169,7928,7667,7855,7337
69,5169,5091,3652,4459,3059,5568
70,3657,1547,552,1162,492,1024
71,1567,3509,4858,4277,5257,2886
72,3288,7129,7861,7679,7853,7370
