,"xgate u3(pi,0,pi)","rx(2pi) u3(2pi,-pi/2,pi/2)"
0,7519,7719
1,503,487
2,7518,7688
3,478,537
4,7523,7682
5,503,591
6,7513,7547
7,554,666
8,7433,7456
9,601,812
10,7462,7367
11,656,942
12,7414,7173
13,623,1146
14,7415,7088
15,671,1239
16,7381,6867
17,647,1440
18,7317,6666
19,680,1615
20,7311,6407
21,680,1845
22,7274,6283
23,782,2002
24,7238,6046
25,770,2325
26,7180,5825
27,819,2544
28,7160,5555
29,885,2751
30,7139,5334
31,936,3103
32,7065,5042
33,936,3295
34,7081,4824
35,966,3576
36,7088,4620
37,1002,3844
38,7044,4292
39,1061,4002
40,6924,4031
41,1064,4413
42,6896,3867
43,1160,4385
44,6847,3607
45,1170,4716
46,6872,3351
47,1175,4854
48,6793,3246
49,1222,5065
50,6738,3039
51,1302,5296
52,6649,2883
53,1288,5395
54,6699,2729
55,1370,5520
56,6704,2660
57,1400,5636
58,6663,2479
59,1465,5699
60,6589,2430
61,1534,5895
62,6463,2313
63,1522,5902
64,6486,2280
65,1581,6004
66,6465,2226
67,1618,5970
68,6425,2220
69,1648,5994
70,6369,2148
71,1682,6055
72,6374,2228
73,1795,6009
74,6347,2210
75,1872,5583
76,6410,2672
77,1884,5567
78,6340,2663
79,1886,5532
80,6379,2782
81,1913,5505
82,6312,2785
83,2007,5489
84,6302,2881
85,1964,5405
86,6261,2891
87,1994,5246
88,6206,2947
89,2064,5203
90,6157,2944
91,2132,5199
92,6125,3107
93,2247,5022
94,6089,3169
95,2271,5027
96,5980,3277
97,2248,4879
98,6005,3318
99,2341,4797
100,5877,3437
101,2399,4673
102,5903,3513
103,2473,4678
104,5830,3606
105,2505,4550
106,5850,3706
107,2553,4485
108,5677,3776
109,2523,4393
110,5733,3807
111,2562,4387
112,5761,3944
113,2599,4217
114,5575,3982
115,2715,4201
116,5583,4019
117,2688,4179
118,5507,4143
119,2756,4099
120,5493,4128
121,2813,4081
122,5410,4155
123,2860,4047
124,5308,4144
125,2963,4072
126,5272,4240
127,2952,4088
128,5301,4201
129,3036,3949
130,5229,4166
131,3020,4002
132,5203,4027
133,3008,4009
134,5312,4114
135,3071,4092
136,5121,4191
137,3204,4079
138,5120,4109
139,3319,4085
140,5088,4138
141,3322,4107
142,4951,4102
143,3346,4167
144,4965,3992
145,3436,4228
146,4875,3909
147,3368,4246
148,4823,3873
149,3501,4300
