,"xgate u3(pi,0,pi)","rx(2pi) u3(2pi,-pi/2,pi/2)"
0,8082,8101
1,255,216
2,8071,8084
3,226,271
4,8060,8067
5,215,275
6,8055,8037
7,245,296
8,8038,7990
9,275,323
10,8021,7980
11,319,364
12,8009,7947
13,299,381
14,8005,7914
15,305,405
16,7990,7886
17,306,474
18,7930,7800
19,357,503
20,7902,7798
21,393,607
22,7914,7727
23,418,615
24,7863,7668
25,459,716
26,7863,7584
27,487,771
28,7789,7526
29,501,829
30,7769,7476
31,508,861
32,7743,7411
33,587,919
34,7741,7342
35,569,1015
36,7661,7225
37,619,1012
38,7654,7217
39,677,1103
40,7640,7165
41,718,1215
42,7554,7054
43,732,1302
44,7492,6981
45,784,1434
46,7485,6902
47,745,1518
48,7391,6764
49,898,1580
50,7419,6731
51,900,1684
52,7394,6596
53,953,1751
54,7378,6473
55,977,1860
56,7253,6335
57,1060,1994
58,7257,6253
59,1085,2070
60,7205,6148
61,1106,2125
62,7162,6142
63,1144,2282
64,7098,6004
65,1240,2344
66,7077,5851
67,1264,2471
68,7031,5824
69,1357,2570
70,6926,5627
71,1335,2700
72,6851,5692
73,1402,2781
74,6808,5471
75,1177,3348
76,7100,4938
77,1176,3427
78,7074,4829
79,1190,3579
80,7086,4766
81,1277,3705
82,7012,4502
83,1306,3821
84,7026,4452
85,1330,3953
86,6986,4326
87,1366,4061
88,6895,4108
89,1339,4210
90,6949,4043
91,1472,4376
92,6776,3987
93,1511,4435
94,6803,3781
95,1565,4537
96,6686,3768
97,1586,4589
98,6630,3663
99,1678,4729
100,6622,3563
101,1630,4848
102,6559,3394
103,1740,4878
104,6468,3212
105,1786,5152
106,6478,3210
107,1753,5129
108,6474,3017
109,1837,5154
110,6371,2940
111,1990,5406
112,6359,2834
113,1923,5412
114,6276,2818
115,1999,5587
116,6248,2680
117,2085,5588
118,6251,2690
119,2024,5752
120,6158,2519
121,2104,5792
122,6131,2481
123,2246,5906
124,6076,2456
125,2242,5941
126,6060,2324
127,2301,5990
128,5989,2187
129,2382,6026
130,5932,2171
131,2369,6176
132,5876,2142
133,2401,6199
134,5839,2046
135,2411,6255
136,5871,1900
137,2443,6315
138,5795,2002
139,2512,6347
140,5699,1963
141,2592,6428
142,5677,1836
143,2644,6492
144,5627,1828
145,2648,6513
146,5657,1793
147,2679,6501
148,5551,1807
149,2765,6560
